STATION,NAME,DATE,TMAX,TMIN
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-01,79.0,59.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-02,76.0,71.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-03,78.0,58.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-04,72.0,48.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-05,72.0,43.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-06,79.0,47.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-07,81.0,57.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-08,70.0,50.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-09,68.0,45.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-10,76.0,58.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-11,80.0,63.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-12,71.0,50.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-13,63.0,42.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-14,62.0,34.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-15,73.0,43.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-16,76.0,63.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-17,80.0,63.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-18,79.0,51.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-19,72.0,46.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-20,53.0,48.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-21,53.0,48.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-22,61.0,40.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-23,59.0,35.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-24,60.0,45.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-25,52.0,38.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-26,58.0,35.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-27,56.0,34.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-28,70.0,55.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-29,74.0,51.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-30,51.0,36.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-31,43.0,36.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-01,40.0,36.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-02,41.0,38.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-03,59.0,39.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-04,63.0,35.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-05,74.0,45.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-06,73.0,49.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-07,74.0,58.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-08,78.0,44.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-09,72.0,40.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-10,59.0,42.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-11,54.0,39.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-12,65.0,38.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-13,73.0,40.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-14,80.0,60.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-15,78.0,64.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-16,72.0,45.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-17,54.0,36.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-18,55.0,33.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-19,75.0,43.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-20,79.0,63.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-21,82.0,69.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-22,81.0,70.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-23,83.0,70.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-24,79.0,69.0
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-25,82.0,62.0
