STATION,NAME,DATE,TMAX,TMIN,daily_peak_load
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-01,79.0,59.0,41594.989976
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-02,76.0,71.0,46265.637177
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-03,78.0,58.0,44268.537672
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-04,72.0,48.0,44085.466474
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-05,72.0,43.0,47379.537722
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-06,79.0,47.0,46320.775739
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-07,81.0,57.0,42900.621156
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-08,70.0,50.0,42227.920938
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-09,68.0,45.0,47029.854027
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-10,76.0,58.0,44780.006756
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-11,80.0,63.0,47082.681187
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-12,71.0,50.0,45320.071218
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-13,63.0,42.0,51224.874398
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-14,62.0,34.0,49179.01077
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-15,73.0,43.0,42267.771388
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-16,76.0,63.0,45291.2702
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-17,80.0,63.0,45574.189798
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-18,79.0,51.0,44609.948229
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-19,72.0,46.0,45014.998756
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-20,53.0,48.0,46110.923472
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-21,53.0,48.0,44671.514372
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-22,61.0,40.0,45471.264441
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-23,59.0,35.0,54688.858314
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-24,60.0,45.0,51498.144594
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-25,52.0,38.0,54490.483001
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-26,58.0,35.0,57821.057265
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-27,56.0,34.0,56092.460797
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-28,70.0,55.0,44942.34216
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-29,74.0,51.0,50556.108909
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-30,51.0,36.0,63018.21569
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-01-31,43.0,36.0,65631.970941
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-01,40.0,36.0,63505.45339
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-02,41.0,38.0,59718.847634
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-03,59.0,39.0,60512.851296
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-04,63.0,35.0,53519.563242
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-05,74.0,45.0,44620.314089
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-06,73.0,49.0,44028.734478
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-07,74.0,58.0,46567.607957
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-08,78.0,44.0,48140.198362
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-09,72.0,40.0,53238.045275
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-10,59.0,42.0,50338.807636
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-11,54.0,39.0,53381.283326
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-12,65.0,38.0,50749.384628
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-13,73.0,40.0,49090.607209
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-14,80.0,60.0,44677.511563
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-15,78.0,64.0,46275.493341
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-16,72.0,45.0,51599.805843
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-17,54.0,36.0,58325.066344
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-18,55.0,33.0,53835.205415
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-19,75.0,43.0,44678.377791
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-20,79.0,63.0,46789.052856
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-21,82.0,69.0,49867.446699
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-22,81.0,70.0,49970.57393
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-23,83.0,70.0,48306.419159
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-24,79.0,69.0,48463.035286
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-25,82.0,62.0,46617.245363
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-26,82.0,70.0,45914.819234
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-27,84.0,59.0,48447.892864
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-02-28,84.0,56.0,50366.177619
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-01,84.0,71.0,50066.680684
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-02,79.0,65.0,49099.46573
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-03,72.0,53.0,42577.426998
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-04,80.0,46.0,43028.40877
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-05,78.0,50.0,45536.573662
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-06,83.0,55.0,50822.351278
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-07,83.0,67.0,49990.321803
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-08,87.0,66.0,49931.396133
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-09,86.0,62.0,50209.965003
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-10,79.0,63.0,48062.65275
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-11,86.0,63.0,51929.861087
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-12,84.0,59.0,46127.565094
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-13,71.0,53.0,43835.527119
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-14,67.0,50.0,43762.980798
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-15,70.0,44.0,44053.186608
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-16,75.0,63.0,46509.999489
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-17,72.0,45.0,47526.832696
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-18,56.0,47.0,46460.774738
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-19,59.0,39.0,47645.134847
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-20,56.0,37.0,51751.508357
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-21,73.0,53.0,45491.671873
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-22,83.0,68.0,50216.280319
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-23,85.0,71.0,52766.157199
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-24,83.0,70.0,51115.414472
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",2023-03-25,85.0,60.0,47601.110319
